source_file,label,split
crying/S-211031_H_302_C_001_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_4-185575-A-20.wav,crying,train
crying/S-211107_H_302_C_004_0001.wav,crying,train
crying/S-211026_H_302_C_010_0001.wav,crying,train
crying/S-211104_H_302_C_004_0001.wav,crying,train
crying/S-211028_H_302_C_002_0001.wav,crying,train
crying/S-211104_H_302_C_006_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_5-151085-A-20.wav,crying,train
crying/esc50__crying_baby__ESC50_1-22694-A-20.wav,crying,train
crying/S-211022_H_302_C_015_0001.wav,crying,train
crying/S-211023_H_302_C_002_0001.wav,crying,train
crying/S-211022_H_302_C_013_0001.wav,crying,train
crying/S-211019_H_302_C_005_0001.wav,crying,train
crying/S-211028_H_302_C_008_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_1-211527-B-20.wav,crying,train
crying/S-211020_H_302_C_004_0001.wav,crying,train
crying/S-211021_H_302_C_005_0001.wav,crying,train
crying/S-211022_H_302_C_019_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_4-185575-B-20.wav,crying,train
crying/S-211028_H_302_C_019_0001.wav,crying,train
crying/S-211028_H_302_C_007_0001.wav,crying,train
crying/S-211022_H_302_C_022_0001.wav,crying,train
crying/S-211027_H_302_C_004_0001.wav,crying,train
crying/S-211020_H_302_C_008_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_2-50666-A-20.wav,crying,train
crying/S-211106_H_302_C_001_0001.wav,crying,train
crying/S-211028_H_302_C_017_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_1-187207-A-20.wav,crying,train
crying/S-211027_H_302_C_007_0001.wav,crying,train
crying/S-211022_H_302_C_018_0001.wav,crying,train
crying/S-211020_H_302_C_014_0001.wav,crying,train
crying/S-211022_H_302_C_014_0001.wav,crying,train
crying/S-211023_H_302_C_008_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_5-198411-G-20.wav,crying,train
crying/S-211026_H_302_C_008_0001.wav,crying,train
crying/S-211101_H_302_C_007_0001.wav,crying,train
crying/S-211106_H_302_C_007_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_2-66637-A-20.wav,crying,train
crying/S-211101_H_302_C_001_0001.wav,crying,train
crying/S-211022_H_302_C_021_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_1-22694-B-20.wav,crying,train
crying/S-211026_H_302_C_007_0001.wav,crying,train
crying/S-211019_H_302_C_003_0001.wav,crying,train
crying/S-211104_H_302_C_003_0001.wav,crying,train
crying/S-211024_H_302_C_004_0001.wav,crying,train
crying/S-211106_H_302_C_011_0001.wav,crying,train
crying/S-211028_H_302_C_004_0001.wav,crying,train
crying/S-211107_H_302_C_005_0001.wav,crying,train
crying/S-211028_H_302_C_006_0001.wav,crying,train
crying/S-211027_H_302_C_002_0001.wav,crying,train
crying/S-211101_H_302_C_012_0001.wav,crying,train
crying/S-211028_H_302_C_005_0001.wav,crying,train
crying/S-211022_H_302_C_016_0001.wav,crying,train
crying/S-211018_H_302_C_003_0001.wav,crying,train
crying/S-211022_H_302_C_023_0001.wav,crying,train
crying/S-211026_H_302_C_011_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_3-151081-B-20.wav,crying,train
crying/S-211107_H_302_C_002_0001.wav,crying,train
crying/S-211022_H_302_C_011_0001.wav,crying,train
crying/S-211101_H_302_C_013_0001.wav,crying,train
crying/S-211026_H_302_C_003_0001.wav,crying,train
crying/S-211022_H_302_C_005_0001.wav,crying,train
crying/S-211107_H_302_C_001_0001.wav,crying,train
crying/S-211023_H_302_C_001_0001.wav,crying,train
crying/S-211024_H_302_C_001_0001.wav,crying,train
crying/S-211022_H_302_C_006_0001.wav,crying,train
crying/S-211026_H_302_C_002_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_3-152007-C-20.wav,crying,train
crying/S-211027_H_302_C_006_0001.wav,crying,train
crying/S-211023_H_302_C_003_0001.wav,crying,train
crying/S-211023_H_302_C_005_0001.wav,crying,train
crying/S-211022_H_302_C_020_0001.wav,crying,train
crying/S-211101_H_302_C_008_0001.wav,crying,train
crying/S-211020_H_302_C_011_0001.wav,crying,train
crying/S-211021_H_302_C_004_0001.wav,crying,train
crying/S-211026_H_302_C_015_0001.wav,crying,train
crying/S-211023_H_302_C_009_0001.wav,crying,train
crying/S-211022_H_302_C_004_0001.wav,crying,train
crying/S-211101_H_302_C_003_0001.wav,crying,train
crying/S-211106_H_302_C_002_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_4-167077-C-20.wav,crying,train
crying/S-211027_H_302_C_001_0001.wav,crying,train
crying/S-211104_H_302_C_009_0001.wav,crying,train
crying/S-211023_H_302_C_006_0001.wav,crying,train
crying/S-211106_H_302_C_006_0001.wav,crying,train
crying/S-211026_H_302_C_013_0001.wav,crying,train
crying/S-211022_H_302_C_007_0001.wav,crying,train
crying/S-211028_H_302_C_001_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_2-151079-A-20.wav,crying,train
crying/S-211026_H_302_C_012_0001.wav,crying,train
crying/S-211028_H_302_C_009_0001.wav,crying,train
crying/S-211021_H_302_C_002_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_1-211527-A-20.wav,crying,val
crying/S-211017_H_302_D_001_0001.wav,crying,val
crying/S-211027_H_302_C_003_0001.wav,crying,val
crying/esc50__crying_baby__ESC50_3-151081-A-20.wav,crying,val
crying/S-211106_H_302_C_003_0001.wav,crying,val
crying/S-211020_H_302_C_005_0001.wav,crying,val
crying/S-211022_H_302_C_009_0001.wav,crying,val
crying/S-211101_H_302_C_002_0001.wav,crying,val
crying/S-211017_H_302_C_007_0001.wav,crying,val
crying/S-211022_H_302_C_001_0001.wav,crying,val
crying/S-211101_H_302_C_010_0001.wav,crying,val
crying/S-211028_H_302_C_003_0001.wav,crying,val
crying/S-211028_H_302_C_018_0001.wav,crying,val
crying/S-211026_H_302_C_001_0001.wav,crying,val
crying/S-211031_H_302_C_002_0001.wav,crying,val
crying/esc50__crying_baby__ESC50_2-50665-A-20.wav,crying,val
crying/S-211028_H_302_C_016_0001.wav,crying,val
crying/S-211018_H_302_C_001_0001.wav,crying,val
crying/S-211101_H_302_C_014_0001.wav,crying,val
crying/S-211020_H_302_C_013_0001.wav,crying,val
crying/S-211020_H_302_C_009_0001.wav,crying,val
crying/S-211101_H_302_C_004_0001.wav,crying,val
crying/esc50__crying_baby__ESC50_3-152007-E-20.wav,crying,val
crying/S-211101_H_302_C_011_0001.wav,crying,val
crying/esc50__crying_baby__ESC50_2-80482-A-20.wav,crying,val
crying/S-211020_H_302_C_012_0001.wav,crying,val
crying/S-211026_H_302_C_005_0001.wav,crying,val
crying/S-211028_H_302_C_011_0001.wav,crying,test
crying/esc50__crying_baby__ESC50_4-59579-B-20.wav,crying,test
crying/esc50__crying_baby__ESC50_3-151080-A-20.wav,crying,test
crying/S-211018_H_302_C_002_0001.wav,crying,test
crying/S-211106_H_302_C_005_0001.wav,crying,test
crying/esc50__crying_baby__ESC50_5-198411-B-20.wav,crying,test
crying/esc50__crying_baby__ESC50_4-59579-A-20.wav,crying,test
crying/S-211020_H_302_C_010_0001.wav,crying,test
crying/esc50__crying_baby__ESC50_5-198411-C-20.wav,crying,test
crying/S-211022_H_302_C_010_0001.wav,crying,test
crying/S-211019_H_302_C_004_0001.wav,crying,test
crying/esc50__crying_baby__ESC50_1-60997-A-20.wav,crying,test
crying/S-211024_H_302_C_003_0001.wav,crying,test
crying/S-211028_H_302_C_013_0001.wav,crying,test
crying/S-211106_H_302_C_004_0001.wav,crying,test
crying/S-211017_H_302_C_008_0001.wav,crying,test
crying/S-211026_H_302_C_006_0001.wav,crying,test
crying/esc50__crying_baby__ESC50_3-152007-D-20.wav,crying,test
crying/esc50__crying_baby__ESC50_3-152007-A-20.wav,crying,test
crying/S-211101_H_302_C_015_0001.wav,crying,test
crying/S-211021_H_302_C_003_0001.wav,crying,test
crying/S-211019_H_302_C_002_0001.wav,crying,test
crying/S-211026_H_302_C_009_0001.wav,crying,test
crying/S-211028_H_302_C_014_0001.wav,crying,test
crying/esc50__crying_baby__ESC50_2-66637-B-20.wav,crying,test
crying/S-211028_H_302_C_015_0001.wav,crying,test
crying/esc50__crying_baby__ESC50_5-198411-D-20.wav,crying,test
crying/S-211023_H_302_C_007_0001.wav,crying,test
crying/S-211028_H_302_C_010_0001.wav,crying,test
fire_siren/archive__fire_alarm__2_fire_alarm_447.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_591.wav,fire_siren,train
fire_siren/S-211014_S_103_C_247_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_508.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_298.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_99.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_476.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_540.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_137.wav,fire_siren,train
fire_siren/S-211014_S_103_C_252_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_73.wav,fire_siren,train
fire_siren/S-211014_S_103_C_200_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_442.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_152.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_470.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_97.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_50.wav,fire_siren,train
fire_siren/S-211103_S_103_C_005_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_313.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_391.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_5.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_174.wav,fire_siren,train
fire_siren/S-211014_S_103_C_141_0001.wav,fire_siren,train
fire_siren/S-211014_S_103_C_143_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_297.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_492.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_383.wav,fire_siren,train
fire_siren/S-211103_S_103_C_001_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_276.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_421.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_239.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_386.wav,fire_siren,train
fire_siren/S-211014_S_103_C_241_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_236.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_344.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_504.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_244.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_131.wav,fire_siren,train
fire_siren/S-211113_S_103_C_008_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_592.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_130.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_528.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_27.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_429.wav,fire_siren,train
fire_siren/S-211014_S_103_C_287_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_214.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_74.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_234.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_302.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_524.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_439.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_343.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_518.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_309.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_295.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_573.wav,fire_siren,train
fire_siren/S-211014_S_103_C_195_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_184.wav,fire_siren,train
fire_siren/S-211107_S_103_C_017_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_280.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_567.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_261.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_25.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_156.wav,fire_siren,train
fire_siren/S-211014_S_103_C_144_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_527.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_289.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_216.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_227.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_599.wav,fire_siren,train
fire_siren/S-211014_S_103_C_219_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_0.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_400.wav,fire_siren,train
fire_siren/S-211107_S_103_C_015_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_125.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_582.wav,fire_siren,train
fire_siren/S-211014_S_103_C_363_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_488.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_545.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_497.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_458.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_22.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_373.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_51.wav,fire_siren,train
fire_siren/S-211014_S_103_C_193_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_368.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_161.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_252.wav,fire_siren,train
fire_siren/S-211103_S_103_C_003_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_499.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_326.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_461.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_292.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_494.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_438.wav,fire_siren,train
fire_siren/S-211015_S_103_C_008_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_554.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_245.wav,fire_siren,train
fire_siren/S-211014_S_103_C_233_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_565.wav,fire_siren,train
fire_siren/S-211014_S_103_C_254_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_70.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_288.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_321.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_226.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_13.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_322.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_418.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_100.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_523.wav,fire_siren,train
fire_siren/S-211014_S_103_C_242_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_157.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_478.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_556.wav,fire_siren,train
fire_siren/S-211014_S_103_C_234_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_172.wav,fire_siren,train
fire_siren/S-211106_S_103_C_013_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_202.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_23.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_314.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_550.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_303.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_98.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_212.wav,fire_siren,train
fire_siren/S-211014_S_103_C_281_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_150.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_448.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_264.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_449.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_169.wav,fire_siren,train
fire_siren/S-211014_S_103_C_277_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_450.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_481.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_290.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_340.wav,fire_siren,train
fire_siren/S-211014_S_103_C_130_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_335.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_562.wav,fire_siren,train
fire_siren/S-211014_S_103_C_235_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_16.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_179.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_155.wav,fire_siren,train
fire_siren/S-211014_S_103_C_152_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_530.wav,fire_siren,train
fire_siren/S-211014_S_103_C_355_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_35.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_516.wav,fire_siren,train
fire_siren/S-211014_S_103_C_216_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_138.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_4.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_566.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_187.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_539.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_60.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_84.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_82.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_366.wav,fire_siren,train
fire_siren/S-211014_S_103_C_259_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_590.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_9.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_209.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_491.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_258.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_480.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_359.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_387.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_333.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_389.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_31.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_6.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_299.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_390.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_32.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_96.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_374.wav,fire_siren,train
fire_siren/S-211106_S_103_C_030_0001.wav,fire_siren,train
fire_siren/S-211014_S_103_C_140_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_525.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_182.wav,fire_siren,train
fire_siren/S-211014_S_103_C_138_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_266.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_471.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_430.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_162.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_110.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_273.wav,fire_siren,train
fire_siren/S-211113_S_103_D_017_0001.wav,fire_siren,train
fire_siren/S-211103_S_103_C_006_0001.wav,fire_siren,train
fire_siren/S-211014_S_103_C_240_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_517.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_583.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_538.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_53.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_351.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_341.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_316.wav,fire_siren,train
fire_siren/S-211014_S_103_C_270_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_294.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_33.wav,fire_siren,train
fire_siren/S-211014_S_103_C_197_0001.wav,fire_siren,train
fire_siren/S-211107_S_103_C_018_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_140.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_403.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_206.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_580.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_282.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_369.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_505.wav,fire_siren,train
fire_siren/S-211014_S_103_C_243_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_148.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_46.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_372.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_219.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_388.wav,fire_siren,train
fire_siren/S-211014_S_103_C_148_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_190.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_342.wav,fire_siren,train
fire_siren/S-211014_S_103_C_360_0001.wav,fire_siren,train
fire_siren/S-211014_S_103_C_217_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_446.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_272.wav,fire_siren,train
fire_siren/S-211014_S_103_C_365_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_513.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_522.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_360.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_68.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_586.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_232.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_365.wav,fire_siren,train
fire_siren/S-211014_S_103_C_194_0001.wav,fire_siren,train
fire_siren/S-211106_S_103_C_018_0001.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_332.wav,fire_siren,train
fire_siren/archive__fire_alarm__2_fire_alarm_19.wav,fire_siren,train
